method_id,group,input_type,status,valid_accuracy,valid_macro_f1,test_accuracy,test_macro_f1,model_size_mb,latency_ms_per_sample,device,metrics_path,notes
logistic_regression,phase4_mfcc_baseline,mfcc_mean_std,trained,0.561728,0.561220,0.546639,0.546332,0.002198,,cpu,outputs/metrics/baseline_results.json,MFCC mean/std traditional baseline.
svm,phase4_mfcc_baseline,mfcc_mean_std,trained,0.568587,0.568753,0.558985,0.559212,1.782753,,cpu,outputs/metrics/baseline_results.json,MFCC mean/std traditional baseline.
lightweight_cnn,phase5_lightweight_cnn,log_mel_spectrogram,trained,0.609053,0.605162,0.618656,0.611501,0.099381,,mps,outputs/metrics/cnn_results.json,Main Phase 5 lightweight CNN.
e1_mobilenetv3,phase9_extended_deep_learning_experiments,log_mel_spectrogram,trained,0.678326,0.671928,0.699588,0.694121,0.202273,152.688350,mps,outputs/metrics/e1_mobilenetv3_results.json,PyTorch-only MobileNetV3-inspired scaffold; no torchvision dependency.
e2_efficientnetb0,phase9_extended_deep_learning_experiments,log_mel_spectrogram,trained,0.718793,0.712714,0.700274,0.693244,0.515212,85.932875,mps,outputs/metrics/e2_efficientnetb0_results.json,PyTorch-only EfficientNet-inspired scaffold; ImageNet weights deferred.
e3_wav2vec2,phase9_extended_deep_learning_experiments,waveform_16khz,trained,0.633745,0.606344,0.617970,0.580942,1441.515012,216.613675,mps,outputs/metrics/e3_wav2vec2_results.json,Frozen wav2vec2 Vietnamese encoder with a trainable classifier head; uses offline embedding extraction for lower memory.
e4_phowhisper,phase9_extended_deep_learning_experiments,phowhisper_input_features,reused,0.847737,0.847442,0.836763,0.834841,79.084858,79.080575,mps,outputs/metrics/e4_phowhisper_results.json,Reuses existing Phase 6 PhoWhisper metrics/checkpoint by default.
e5_vipvl_chunkformer,phase9_extended_deep_learning_experiments,waveform_16khz,trained,0.637174,0.628559,0.642661,0.633013,1.634145,27.551758,mps,outputs/metrics/e5_vipvl_chunkformer_results.json,Plain PyTorch ChunkFormer-style waveform classifier; official ViP-VL/ChunkFormer dependency integration is recorded as a limitation.
e6_whisper_base,phase9_extended_deep_learning_experiments,whisper_input_features,trained,0.824417,0.822854,0.818930,0.816255,79.084246,86.287108,mps,outputs/metrics/e6_whisper_base_results.json,Original OpenAI Whisper-base checkpoint with the encoder frozen; same base-size family as PhoWhisper-base.
e7_whisper_cnn_fusion,phase10_whisper_cnn_fusion,waveform_16khz_to_whisper_features_and_log_mel,trained,0.823731,0.819241,0.793553,0.786643,557.045416,141.899533,mps,outputs/metrics/e7_whisper_cnn_fusion_results.json,"Frozen PhoWhisper encoder plus frozen trained E2 EfficientNetB0-style log-Mel branch; only projection, fusion, and classification head are trained. No decoder, no ASR transcript, and no personal-background inference."
